iter	Accuracy	MultiClass
0	0.5639047619	2.008683961
1	0.6358333333	1.802272216
2	0.7141666667	1.629626062
3	0.7499761905	1.497352842
4	0.7714761905	1.391005906
5	0.7914285714	1.29760286
6	0.8032619048	1.224189853
7	0.8098095238	1.163478033
8	0.822047619	1.09784495
9	0.8302380952	1.04643506
10	0.8420238095	0.9946253821
11	0.8466904762	0.9532868262
12	0.8528333333	0.9088986493
13	0.8567619048	0.8728400954
14	0.8616904762	0.8359590233
15	0.867047619	0.8039501707
16	0.871452381	0.7768935117
17	0.8805	0.7401491776
18	0.8838809524	0.7153099657
19	0.8886904762	0.6864404207
20	0.8918095238	0.6606150933
21	0.8948571429	0.639315674
22	0.897547619	0.6191752932
23	0.900547619	0.6000232823
24	0.9025238095	0.5808403665
25	0.9040238095	0.5631769327
26	0.9063333333	0.5469213082
27	0.908	0.5318416215
28	0.9096428571	0.5205147063
29	0.9115	0.5066254685
30	0.9129761905	0.4933389525
31	0.915	0.4817915467
32	0.9161904762	0.4709551262
33	0.9174761905	0.4602681845
34	0.918547619	0.4518038064
35	0.9196666667	0.4409701574
36	0.9205238095	0.4318033094
37	0.9221666667	0.4205110184
38	0.9236428571	0.4123081524
39	0.9249285714	0.4029070998
40	0.9256904762	0.3973309805
41	0.9263809524	0.390733548
42	0.9268095238	0.3847531011
43	0.9279761905	0.3755490483
44	0.928547619	0.369454481
45	0.9295714286	0.3622194223
46	0.9310238095	0.3554924783
47	0.9311190476	0.3512043641
48	0.931452381	0.3471884727
49	0.9322619048	0.3414712705
50	0.9332619048	0.3364874976
51	0.9340952381	0.3313366524
52	0.9356666667	0.3268889302
53	0.9363809524	0.3222042213
54	0.937047619	0.3161811774
55	0.937452381	0.3120551045
56	0.9378809524	0.3072598425
57	0.9388095238	0.3021392467
58	0.9394047619	0.2977081014
59	0.9396666667	0.295431074
60	0.9400714286	0.2926049795
61	0.9406666667	0.2884989187
62	0.9415714286	0.2844119535
63	0.9423095238	0.2807101812
64	0.9426190476	0.2773564371
65	0.9430238095	0.2744457944
66	0.943452381	0.2719724593
67	0.944047619	0.2676716028
68	0.9450714286	0.2644646238
69	0.9454285714	0.2617573675
70	0.9459047619	0.2585179218
71	0.9462142857	0.2554586516
72	0.9469047619	0.2523954498
73	0.948	0.2483977723
74	0.9486904762	0.2457641753
75	0.9487142857	0.2436001828
76	0.948952381	0.2417833765
77	0.9491904762	0.2395668514
78	0.9495238095	0.2376444522
79	0.9497857143	0.2353044334
80	0.9503809524	0.2326234853
81	0.951	0.2309021922
82	0.9513333333	0.2286178843
83	0.9514761905	0.2269128893
84	0.9517857143	0.2249720124
85	0.952047619	0.222953003
86	0.9524285714	0.2208232002
87	0.952547619	0.2190122378
88	0.9528571429	0.2162671632
89	0.953452381	0.2139059859
90	0.9540714286	0.2118015656
91	0.9545952381	0.2096884197
92	0.9547380952	0.2082650483
93	0.9551190476	0.2062489649
94	0.9555	0.2041484446
95	0.9556190476	0.2028115508
96	0.9562380952	0.2007516463
97	0.9566428571	0.1987372399
98	0.9570714286	0.1969148863
99	0.9573571429	0.1960981785
