iter	Passed	Remaining
0	2069	204845
1	4199	205767
2	6207	200701
3	8071	193711
4	10032	190623
5	11901	186458
6	13743	182597
7	15549	178820
8	17387	175811
9	19187	172688
10	20989	169827
11	22783	167082
12	24617	164746
13	26450	162479
14	28365	160736
15	30202	158562
16	32020	156334
17	33894	154408
18	35716	152265
19	37560	150242
20	39403	148233
21	41249	146248
22	43078	144219
23	44871	142094
24	46707	140122
25	48543	138163
26	50336	136094
27	52174	134161
28	53943	132068
29	55776	130144
30	57619	128250
31	59428	126285
32	61245	124346
33	63059	122410
34	64862	120458
35	66702	118581
36	68490	116619
37	70380	114831
38	72189	112911
39	74159	111238
40	75938	109276
41	77740	107356
42	79529	105422
43	81386	103582
44	83239	101736
45	85074	99870
46	86893	97985
47	88683	96073
48	90467	94160
49	92270	92270
50	94031	90344
51	95815	88445
52	97608	86558
53	99384	84660
54	101220	82816
55	102987	80918
56	104776	79042
57	106560	77164
58	108327	75278
59	110050	73366
60	111814	71487
61	113601	69626
62	115413	67782
63	117187	65917
64	118977	64064
65	120775	62217
66	122538	60354
67	124357	58521
68	126136	56670
69	127880	54805
70	129675	52966
71	131449	51119
72	133222	49273
73	135036	47445
74	136807	45602
75	138701	43800
76	140532	41977
77	142330	40144
78	144097	38304
79	145886	36471
80	147708	34647
81	149458	32807
82	151238	30976
83	152978	29138
84	154764	27311
85	156544	25483
86	158326	23658
87	160100	21831
88	161886	20008
89	163657	18184
90	165438	16362
91	167213	14540
92	168959	12717
93	170742	10898
94	172521	9080
95	174425	7267
96	176382	5455
97	178193	3636
98	180000	1818
99	181939	0
